"domaine","code_specialite","nom_specialite","universite","institution","baccalaureat","score_2023","score_2024","score_2025"
"ﺍﻟﻬﻨﺪﺳﺔ ﺍﻟﻤﻌﻤﺎﺭﻳﺔ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻟﻌﻠﻤﻴﺔ","20518","ﻣﺮﺣﻠﺔ ﺗﺤﻀﻴﺮﻳﺔ ﻣﻨﺪﻣﺠﺔ","ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ","ﻛﻠﻴﺔ ﺍﻟﻌﻠﻮﻡ ﺑﺒﻨﺰﺭﺕ","ﻋﻠﻮﻡ ﺗﺠﺮﻳﺒﻴﺔ","168.5933","167.135","166.3483"
"ﺍﻟﻬﻨﺪﺳﺔ ﺍﻟﻤﻌﻤﺎﺭﻳﺔ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻟﻌﻠﻤﻴﺔ","20518","ﻣﺮﺣﻠﺔ ﺗﺤﻀﻴﺮﻳﺔ ﻣﻨﺪﻣﺠﺔ","ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ","ﻛﻠﻴﺔ ﺍﻟﻌﻠﻮﻡ ﺑﺒﻨﺰﺭﺕ","ﺍﻟﻌﻠﻮﻡ ﺍﻟﺘﻘﻨﻴﺔ","174.4467","172.4333","163.86"
"ﺍﻟﻬﻨﺪﺳﺔ ﺍﻟﻤﻌﻤﺎﺭﻳﺔ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻟﻌﻠﻤﻴﺔ","20518","ﻣﺮﺣﻠﺔ ﺗﺤﻀﻴﺮﻳﺔ ﻣﻨﺪﻣﺠﺔ","ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ","ﻛﻠﻴﺔ ﺍﻟﻌﻠﻮﻡ ﺑﺒﻨﺰﺭﺕ","ﻋﻠﻮﻡ ﺍﻹﻋﻼﻣﻴﺔ","182.8483","182.5333","177.8817"
"ﺍﻟﻬﻨﺪﺳﺔ ﺍﻟﻤﻌﻤﺎﺭﻳﺔ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻟﻌﻠﻤﻴﺔ","20522","ﻣﺮﺣﻠﺔ ﺗﺤﻀﻴﺮﻳﺔ ﻋﻠﻤﻴﺔ","ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ","ﺍﻟﻤﻌﻬﺪ ﺍﻟﺘﺤﻀﻴﺮﻱ ﻟﻠﺪﺭﺍﺳﺎﺕ ﺍﻟﻬﻨﺪﺳﻴﺔ ﺑﺒﻨﺰﺭﺕ","ﺭﻳﺎﺿﻴﺎﺕ","146.015","147.435","88.3"
"ﺍﻟﻬﻨﺪﺳﺔ ﺍﻟﻤﻌﻤﺎﺭﻳﺔ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻟﻌﻠﻤﻴﺔ","20522","ﻣﺮﺣﻠﺔ ﺗﺤﻀﻴﺮﻳﺔ ﻋﻠﻤﻴﺔ","ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ","ﺍﻟﻤﻌﻬﺪ ﺍﻟﺘﺤﻀﻴﺮﻱ ﻟﻠﺪﺭﺍﺳﺎﺕ ﺍﻟﻬﻨﺪﺳﻴﺔ ﺑﺒﻨﺰﺭﺕ","ﻋﻠﻮﻡ ﺗﺠﺮﻳﺒﻴﺔ","126.805","118.845","111.455"
"ﺍﻟﻬﻨﺪﺳﺔ ﺍﻟﻤﻌﻤﺎﺭﻳﺔ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻟﻌﻠﻤﻴﺔ","20522","ﻣﺮﺣﻠﺔ ﺗﺤﻀﻴﺮﻳﺔ ﻋﻠﻤﻴﺔ","ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ","ﺍﻟﻤﻌﻬﺪ ﺍﻟﺘﺤﻀﻴﺮﻱ ﻟﻠﺪﺭﺍﺳﺎﺕ ﺍﻟﻬﻨﺪﺳﻴﺔ ﺑﺒﻨﺰﺭﺕ","ﻋﻠﻮﻡ ﺍﻹﻋﻼﻣﻴﺔ","132.98","148.16","150.115"
"ﺍﻟﻬﻨﺪﺳﺔ ﺍﻟﻤﻌﻤﺎﺭﻳﺔ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻟﻌﻠﻤﻴﺔ","20832","ﻣﺮﺣﻠﺔ ﺗﺤﻀﻴﺮﻳﺔ: ﺑﻴﻮﻟﻮﺟﻴﺎ - ﺟﻴﻮﻟﻮﺟﻴﺎ","ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ","ﺍﻟﻤﻌﻬﺪ ﺍﻟﺘﺤﻀﻴﺮﻱ ﻟﻠﺪﺭﺍﺳﺎﺕ ﺍﻟﻬﻨﺪﺳﻴﺔ ﺑﺒﻨﺰﺭﺕ","ﺭﻳﺎﺿﻴﺎﺕ","129.2417","133.005","100.265"
"ﺍﻟﻬﻨﺪﺳﺔ ﺍﻟﻤﻌﻤﺎﺭﻳﺔ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻟﻌﻠﻤﻴﺔ","20832","ﻣﺮﺣﻠﺔ ﺗﺤﻀﻴﺮﻳﺔ: ﺑﻴﻮﻟﻮﺟﻴﺎ - ﺟﻴﻮﻟﻮﺟﻴﺎ","ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ","ﺍﻟﻤﻌﻬﺪ ﺍﻟﺘﺤﻀﻴﺮﻱ ﻟﻠﺪﺭﺍﺳﺎﺕ ﺍﻟﻬﻨﺪﺳﻴﺔ ﺑﺒﻨﺰﺭﺕ","ﻋﻠﻮﻡ ﺗﺠﺮﻳﺒﻴﺔ","110.4805","109.3417","103.7222"
"ﺍﻟﻬﻨﺪﺳﺔ ﺍﻟﻤﻌﻤﺎﺭﻳﺔ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻟﻌﻠﻤﻴﺔ","22522","ﻣﺮﺣﻠﺔ ﺗﺤﻀﻴﺮﻳﺔ ﻋﻠﻤﻴﺔ","ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ","ﺍﻟﻤﻌﻬﺪ ﺍﻟﺘﺤﻀﻴﺮﻱ ﻟﻠﺪﺭﺍﺳﺎﺕ ﺍﻟﻬﻨﺪﺳﻴﺔ ﺑﻨﺎﺑﻞ","ﺭﻳﺎﺿﻴﺎﺕ","158.69","160.605","131.97"
"ﺍﻟﻬﻨﺪﺳﺔ ﺍﻟﻤﻌﻤﺎﺭﻳﺔ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻟﻌﻠﻤﻴﺔ","22522","ﻣﺮﺣﻠﺔ ﺗﺤﻀﻴﺮﻳﺔ ﻋﻠﻤﻴﺔ","ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ","ﺍﻟﻤﻌﻬﺪ ﺍﻟﺘﺤﻀﻴﺮﻱ ﻟﻠﺪﺭﺍﺳﺎﺕ ﺍﻟﻬﻨﺪﺳﻴﺔ ﺑﻨﺎﺑﻞ","ﻋﻠﻮﻡ ﺗﺠﺮﻳﺒﻴﺔ","150.425","147.545","146.335"
"ﺍﻟﻬﻨﺪﺳﺔ ﺍﻟﻤﻌﻤﺎﺭﻳﺔ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻟﻌﻠﻤﻴﺔ","22522","ﻣﺮﺣﻠﺔ ﺗﺤﻀﻴﺮﻳﺔ ﻋﻠﻤﻴﺔ","ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ","ﺍﻟﻤﻌﻬﺪ ﺍﻟﺘﺤﻀﻴﺮﻱ ﻟﻠﺪﺭﺍﺳﺎﺕ ﺍﻟﻬﻨﺪﺳﻴﺔ ﺑﻨﺎﺑﻞ","ﻋﻠﻮﻡ ﺍﻹﻋﻼﻣﻴﺔ","151.77","156.42","161.065"
